Year,Region,Country Name,Income Group,Cost - Men (% of income per capita),Cost - Men (% of income per capita) - Score,Cost - Women (% of income per capita),Cost - Women (% of income per capita) - Score,Procedures required - Men (number),Procedures required - Men (number) - Score,Procedures required - Women (number),Procedures required - Women (number) - Score,Time - Men (days),Time - Men (days) - Score,Time - Women (days),Time - Women (days)- Score,Cost (Average) - Score,Procedures required (Average) - Score,Time (Average) - Score,Cost (Average),Procedures required (Average),Time (Average)
2006,East Asia & Pacific,Philippines,Lower middle income,33.2,83.39707,33.2,83.39707,17.0,5.88235,17.0,5.88235,35.0,65.32663,35.0,65.32663,83.39707,5.88235,65.32663,33.2,17.0,35.0
2006,East Asia & Pacific,Palau,High income,4.7,97.63464,4.7,97.63464,7.0,64.70588,7.0,64.70588,24.0,76.38191,24.0,76.38191,97.63464,64.70588,76.38191,4.7,7.0,24.0
2006,East Asia & Pacific,Papua New Guinea,Lower middle income,27.7,86.15745,27.7,86.15745,6.0,70.58824,6.0,70.58824,52.0,48.24121,52.0,48.24121,86.15745,70.58824,48.24121,27.7,6.0,52.0
2006,East Asia & Pacific,Singapore,High income,0.9,99.5444,0.9,99.5444,6.0,70.58824,6.0,70.58824,6.0,94.47236,6.0,94.47236,99.5444,70.58824,94.47236,0.9,6.0,6.0
2006,East Asia & Pacific,Solomon Islands,Lower middle income,135.5,32.24039,135.5,32.24039,7.0,64.70588,7.0,64.70588,55.0,45.22613,55.0,45.22613,32.24039,64.70588,45.22613,135.5,7.0,55.0
2006,East Asia & Pacific,Thailand,Upper middle income,17.3,91.36574,17.3,91.36574,10.0,47.05882,10.0,47.05882,35.0,65.32663,35.0,65.32663,91.36574,47.05882,65.32663,17.3,10.0,35.0
2006,East Asia & Pacific,Timor-Leste,Lower middle income,125.4,37.28904,125.4,37.28904,11.0,41.17647,11.0,41.17647,167.0,0.0,167.0,0.0,37.28904,41.17647,0.0,125.4,11.0,167.0
2006,East Asia & Pacific,Tonga,Upper middle income,11.7,94.15896,11.7,94.15896,4.0,82.35294,4.0,82.35294,32.0,68.34171,32.0,68.34171,94.15896,82.35294,68.34171,11.7,4.0,32.0
2006,East Asia & Pacific,"Taiwan, China",High income,4.4,97.78386,4.4,97.78386,8.0,58.82353,8.0,58.82353,65.0,35.17588,65.0,35.17588,97.78386,58.82353,35.17588,4.4,8.0,65.0
2006,East Asia & Pacific,Vietnam,Lower middle income,27.6,86.17733,27.6,86.17733,10.0,47.05882,10.0,47.05882,41.0,59.29648,41.0,59.29648,86.17733,47.05882,59.29648,27.6,10.0,41.0
2006,East Asia & Pacific,Vanuatu,Lower middle income,83.5,58.24472,83.5,58.24472,8.0,58.82353,8.0,58.82353,47.0,53.26633,47.0,53.26633,58.24472,58.82353,53.26633,83.5,8.0,47.0
2006,East Asia & Pacific,Samoa,Upper middle income,46.4,76.7778,46.4,76.7778,8.0,58.82353,8.0,58.82353,35.0,65.32663,35.0,65.32663,76.7778,58.82353,65.32663,46.4,8.0,35.0
2006,Europe & Central Asia,Albania,Upper middle income,31.3,84.36609,31.3,84.36609,12.0,35.29412,12.0,35.29412,41.0,59.29648,41.0,59.29648,84.36609,35.29412,59.29648,31.3,12.0,41.0
2006,Europe & Central Asia,Armenia,Upper middle income,6.1,96.92582,6.1,96.92582,10.0,47.05882,10.0,47.05882,18.0,82.41206,18.0,82.41206,96.92582,47.05882,82.41206,6.1,10.0,18.0
2006,Europe & Central Asia,Austria,High income,5.7,97.13502,5.7,97.13502,8.0,58.82353,8.0,58.82353,25.0,75.37688,25.0,75.37688,97.13502,58.82353,75.37688,5.7,8.0,25.0
2006,Europe & Central Asia,Azerbaijan,Upper middle income,12.3,93.83296,12.3,93.83296,13.0,29.41176,13.0,29.41176,113.0,0.0,113.0,0.0,93.83296,29.41176,0.0,12.3,13.0,113.0
2006,Europe & Central Asia,Belgium,High income,11.1,94.45046,11.1,94.45046,6.0,70.58824,6.0,70.58824,34.0,66.33166,34.0,66.33166,94.45046,70.58824,66.33166,11.1,6.0,34.0
2006,Europe & Central Asia,Bulgaria,Upper middle income,9.6,95.2008,9.6,95.2008,13.0,29.41176,13.0,29.41176,39.0,61.30653,39.0,61.30653,95.2008,29.41176,61.30653,9.6,13.0,39.0
2006,Europe & Central Asia,Bosnia and Herzegovina,Upper middle income,41.2,79.40049,41.2,79.40049,13.0,29.41176,13.0,29.41176,93.0,7.03518,93.0,7.03518,79.40049,29.41176,7.03518,41.2,13.0,93.0
2006,Europe & Central Asia,Belarus,Upper middle income,32.9,83.56191,32.9,83.56191,17.0,5.88235,17.0,5.88235,80.0,20.1005,80.0,20.1005,83.56191,5.88235,20.1005,32.9,17.0,80.0
2006,Europe & Central Asia,Switzerland,High income,9.0,95.4885,9.0,95.4885,6.0,70.58824,6.0,70.58824,18.0,82.41206,18.0,82.41206,95.4885,70.58824,82.41206,9.0,6.0,18.0
2006,Europe & Central Asia,Cyprus,High income,,,,,,,,,,,,,,,,,,
2006,Europe & Central Asia,Czech Republic,High income,9.5,95.26176,9.5,95.26176,10.0,47.05882,10.0,47.05882,57.0,43.21608,57.0,43.21608,95.26176,47.05882,43.21608,9.5,10.0,57.0
2006,Europe & Central Asia,Germany,High income,4.7,97.62831,4.7,97.62831,9.0,52.94118,9.0,52.94118,22.0,78.39196,22.0,78.39196,97.62831,52.94118,78.39196,4.7,9.0,22.0
2006,Europe & Central Asia,Denmark,High income,0.0,100.0,0.0,100.0,5.0,76.47059,5.0,76.47059,6.5,93.96985,6.5,93.96985,100.0,76.47059,93.96985,0.0,5.0,6.5
2006,Europe & Central Asia,Spain,High income,16.5,91.75641,16.5,91.75641,10.0,47.05882,10.0,47.05882,70.0,30.15075,70.0,30.15075,91.75641,47.05882,30.15075,16.5,10.0,70.0
2006,Europe & Central Asia,Estonia,High income,6.2,96.88701,6.2,96.88701,6.0,70.58824,6.0,70.58824,35.0,65.32663,35.0,65.32663,96.88701,70.58824,65.32663,6.2,6.0,35.0
2006,Europe & Central Asia,Finland,High income,1.2,99.42246,1.2,99.42246,3.0,88.23529,3.0,88.23529,17.0,83.41709,17.0,83.41709,99.42246,88.23529,83.41709,1.2,3.0,17.0
2006,Europe & Central Asia,France,High income,1.2,99.41269,1.2,99.41269,5.0,76.47059,5.0,76.47059,7.0,93.46734,7.0,93.46734,99.41269,76.47059,93.46734,1.2,5.0,7.0
2006,Europe & Central Asia,United Kingdom,High income,0.7,99.63635,0.7,99.63635,6.0,70.58824,6.0,70.58824,11.5,88.94472,11.5,88.94472,99.63635,70.58824,88.94472,0.7,6.0,11.5
2006,Europe & Central Asia,Georgia,Upper middle income,13.7,93.16485,13.7,93.16485,8.0,58.82353,8.0,58.82353,21.0,79.39698,21.0,79.39698,93.16485,58.82353,79.39698,13.7,8.0,21.0
2006,Europe & Central Asia,Greece,High income,22.0,89.02182,22.0,89.02182,15.0,17.64706,15.0,17.64706,38.0,62.31156,38.0,62.31156,89.02182,17.64706,62.31156,22.0,15.0,38.0
2006,Europe & Central Asia,Croatia,High income,12.7,93.64226,12.7,93.64226,11.0,41.17647,11.0,41.17647,29.0,71.35678,29.0,71.35678,93.64226,41.17647,71.35678,12.7,11.0,29.0
2006,Europe & Central Asia,Hungary,High income,22.4,88.78578,22.4,88.78578,7.0,64.70588,7.0,64.70588,39.0,61.30653,39.0,61.30653,88.78578,64.70588,61.30653,22.4,7.0,39.0
2006,Europe & Central Asia,Ireland,High income,5.3,97.36001,5.3,97.36001,4.0,82.35294,4.0,82.35294,24.0,76.38191,24.0,76.38191,97.36001,82.35294,76.38191,5.3,4.0,24.0
2006,Europe & Central Asia,Iceland,High income,2.8,98.61807,2.8,98.61807,5.0,76.47059,5.0,76.47059,5.0,95.47739,5.0,95.47739,98.61807,76.47059,95.47739,2.8,5.0,5.0
2006,Europe & Central Asia,Italy,High income,20.7,89.67439,20.7,89.67439,10.0,47.05882,10.0,47.05882,15.0,85.42714,15.0,85.42714,89.67439,47.05882,85.42714,20.7,10.0,15.0
2006,Europe & Central Asia,Kazakhstan,Upper middle income,9.9,95.06753,9.9,95.06753,9.0,52.94118,9.0,52.94118,31.0,69.34673,31.0,69.34673,95.06753,52.94118,69.34673,9.9,9.0,31.0
2006,Europe & Central Asia,Kyrgyz Republic,Lower middle income,10.4,94.82275,10.4,94.82275,9.0,52.94118,9.0,52.94118,21.0,79.39698,21.0,79.39698,94.82275,52.94118,79.39698,10.4,9.0,21.0
2006,Europe & Central Asia,Liechtenstein,High income,,,,,,,,,,,,,,,,,,
2006,Europe & Central Asia,Lithuania,High income,3.3,98.32946,3.3,98.32946,8.0,58.82353,8.0,58.82353,26.0,74.37186,26.0,74.37186,98.32946,58.82353,74.37186,3.3,8.0,26.0
2006,Europe & Central Asia,Luxembourg,High income,,,,,,,,,,,,,,,,,,
2006,Europe & Central Asia,Latvia,High income,4.2,97.90152,4.2,97.90152,5.0,76.47059,5.0,76.47059,16.0,84.42211,16.0,84.42211,97.90152,76.47059,84.42211,4.2,5.0,16.0
2006,Europe & Central Asia,Moldova,Lower middle income,14.6,92.70223,14.6,92.70223,11.0,41.17647,11.0,41.17647,30.0,70.35176,30.0,70.35176,92.70223,41.17647,70.35176,14.6,11.0,30.0
2006,Europe & Central Asia,North Macedonia,Upper middle income,10.4,94.82422,10.4,94.82422,15.0,17.64706,15.0,17.64706,60.0,40.20101,60.0,40.20101,94.82422,17.64706,40.20101,10.4,15.0,60.0
2006,Europe & Central Asia,Montenegro,Upper middle income,,,,,,,,,,,,,,,,,,
2006,Europe & Central Asia,Netherlands,High income,13.0,93.51613,13.0,93.51613,7.0,64.70588,7.0,64.70588,9.0,91.45729,9.0,91.45729,93.51613,64.70588,91.45729,13.0,7.0,9.0
2006,Europe & Central Asia,Norway,High income,2.7,98.6508,2.7,98.6508,5.0,76.47059,5.0,76.47059,8.0,92.46231,8.0,92.46231,98.6508,76.47059,92.46231,2.7,5.0,8.0
2006,Europe & Central Asia,Poland,High income,19.9,90.03286,19.9,90.03286,11.0,41.17647,11.0,41.17647,52.0,48.24121,52.0,48.24121,90.03286,41.17647,48.24121,19.9,11.0,52.0
2006,Europe & Central Asia,Portugal,High income,13.4,93.2961,13.4,93.2961,11.0,41.17647,11.0,41.17647,48.0,52.26131,48.0,52.26131,93.2961,41.17647,52.26131,13.4,11.0,48.0
2006,Europe & Central Asia,Romania,Upper middle income,5.3,97.3647,5.3,97.3647,6.0,70.58824,6.0,70.58824,11.0,89.44724,11.0,89.44724,97.3647,70.58824,89.44724,5.3,6.0,11.0
2006,Europe & Central Asia,Russia,Upper middle income,,,,,,,,,,,,,,,,,,
2006,Europe & Central Asia,San Marino,High income,,,,,,,,,,,,,,,,,,
2006,Europe & Central Asia,Serbia,Upper middle income,12.0,93.98664,12.0,93.98664,11.0,41.17647,11.0,41.17647,23.0,77.38693,23.0,77.38693,93.98664,41.17647,77.38693,12.0,11.0,23.0
2006,Europe & Central Asia,Slovak Republic,High income,5.0,97.47621,5.0,97.47621,10.0,47.05882,10.0,47.05882,37.0,63.31658,37.0,63.31658,97.47621,47.05882,63.31658,5.0,10.0,37.0
2006,Europe & Central Asia,Slovenia,High income,12.0,93.98182,12.0,93.98182,11.0,41.17647,11.0,41.17647,61.5,38.69347,61.5,38.69347,93.98182,41.17647,38.69347,12.0,11.0,61.5
2006,Europe & Central Asia,Sweden,High income,0.7,99.65028,0.7,99.65028,3.0,88.23529,3.0,88.23529,16.0,84.42211,16.0,84.42211,99.65028,88.23529,84.42211,0.7,3.0,16.0
2006,Europe & Central Asia,Tajikistan,Low income,85.1,57.44481,85.1,57.44481,14.0,23.52941,14.0,23.52941,79.0,21.10553,79.0,21.10553,57.44481,23.52941,21.10553,85.1,14.0,79.0
2006,Europe & Central Asia,Turkey,Upper middle income,28.7,85.63112,28.7,85.63112,10.0,47.05882,10.0,47.05882,10.5,89.94975,10.5,89.94975,85.63112,47.05882,89.94975,28.7,10.0,10.5
2006,Europe & Central Asia,Ukraine,Lower middle income,13.4,93.27978,13.4,93.27978,16.0,11.76471,16.0,11.76471,35.0,65.32663,35.0,65.32663,93.27978,11.76471,65.32663,13.4,16.0,35.0
2006,Europe & Central Asia,Uzbekistan,Lower middle income,11.5,94.23269,11.5,94.23269,10.0,47.05882,10.0,47.05882,28.0,72.36181,28.0,72.36181,94.23269,47.05882,72.36181,11.5,10.0,28.0
2006,Europe & Central Asia,Kosovo,Upper middle income,,,,,,,,,,,,,,,,,,
2006,Latin America & Caribbean,Argentina,Upper middle income,15.9,92.05217,15.9,92.05217,13.0,29.41176,13.0,29.41176,29.5,70.85427,29.5,70.85427,92.05217,29.41176,70.85427,15.9,13.0,29.5
2006,Latin America & Caribbean,Antigua and Barbuda,High income,12.5,93.74526,12.5,93.74526,9.0,52.94118,9.0,52.94118,26.0,74.37186,26.0,74.37186,93.74526,52.94118,74.37186,12.5,9.0,26.0
2006,Latin America & Caribbean,The Bahamas,High income,,,,,,,,,,,,,,,,,,
2006,Latin America & Caribbean,Belize,Upper middle income,38.4,80.79526,38.4,80.79526,9.0,52.94118,9.0,52.94118,57.0,43.21608,57.0,43.21608,80.79526,52.94118,43.21608,38.4,9.0,57.0
2006,Latin America & Caribbean,Bolivia,Lower middle income,153.2,23.41617,153.2,23.41617,14.0,23.52941,14.0,23.52941,49.0,51.25628,49.0,51.25628,23.41617,23.52941,51.25628,153.2,14.0,49.0
2006,Latin America & Caribbean,Brazil,Upper middle income,,,,,,,,,,,,,,,,,,
2006,Latin America & Caribbean,Barbados,High income,,,,,,,,,,,,,,,,,,
2006,Latin America & Caribbean,Chile,High income,12.8,93.59521,12.8,93.59521,9.0,52.94118,9.0,52.94118,42.0,58.29146,42.0,58.29146,93.59521,52.94118,58.29146,12.8,9.0,42.0
2006,Latin America & Caribbean,Colombia,Upper middle income,24.7,87.6733,24.7,87.6733,12.0,35.29412,12.0,35.29412,41.0,59.29648,41.0,59.29648,87.6733,35.29412,59.29648,24.7,12.0,41.0
2006,Latin America & Caribbean,Costa Rica,Upper middle income,12.6,93.68926,12.6,93.68926,12.0,35.29412,12.0,35.29412,90.0,10.05025,90.0,10.05025,93.68926,35.29412,10.05025,12.6,12.0,90.0
2006,Latin America & Caribbean,Dominica,Upper middle income,30.2,84.9113,30.2,84.9113,5.0,76.47059,5.0,76.47059,14.0,86.43216,14.0,86.43216,84.9113,76.47059,86.43216,30.2,5.0,14.0
2006,Latin America & Caribbean,Dominican Republic,Upper middle income,30.8,84.57518,30.8,84.57518,9.0,52.94118,9.0,52.94118,76.0,24.1206,76.0,24.1206,84.57518,52.94118,24.1206,30.8,9.0,76.0
2006,Latin America & Caribbean,Ecuador,Upper middle income,38.1,80.95396,38.1,80.95396,14.0,23.52941,14.0,23.52941,69.0,31.15578,69.0,31.15578,80.95396,23.52941,31.15578,38.1,14.0,69.0
2006,Latin America & Caribbean,Grenada,Upper middle income,38.7,80.67343,38.7,80.67343,6.0,70.58824,6.0,70.58824,20.0,80.40201,20.0,80.40201,80.67343,70.58824,80.40201,38.7,6.0,20.0
2006,Latin America & Caribbean,Guatemala,Upper middle income,58.4,70.79535,58.4,70.79535,16.0,11.76471,16.0,11.76471,41.0,59.29648,41.0,59.29648,70.79535,11.76471,59.29648,58.4,16.0,41.0
2006,Latin America & Caribbean,Guyana,Upper middle income,96.5,51.75398,96.5,51.75398,8.0,58.82353,8.0,58.82353,42.0,58.29146,42.0,58.29146,51.75398,58.82353,58.29146,96.5,8.0,42.0
2006,Latin America & Caribbean,Honduras,Lower middle income,64.1,67.97017,64.1,67.97017,12.0,35.29412,12.0,35.29412,69.0,31.15578,69.0,31.15578,67.97017,35.29412,31.15578,64.1,12.0,69.0
2006,Latin America & Caribbean,Haiti,Low income,308.1,0.0,308.1,0.0,13.0,29.41176,13.0,29.41176,202.0,0.0,202.0,0.0,0.0,29.41176,0.0,308.1,13.0,202.0
2006,Latin America & Caribbean,Jamaica,Upper middle income,11.8,94.10113,11.8,94.10113,6.0,70.58824,6.0,70.58824,8.0,92.46231,8.0,92.46231,94.10113,70.58824,92.46231,11.8,6.0,8.0
2006,Latin America & Caribbean,St. Kitts and Nevis,High income,26.8,86.58188,26.8,86.58188,7.0,64.70588,7.0,64.70588,19.0,81.40704,19.0,81.40704,86.58188,64.70588,81.40704,26.8,7.0,19.0
2006,Latin America & Caribbean,St. Lucia,Upper middle income,27.9,86.06082,27.9,86.06082,6.0,70.58824,6.0,70.58824,22.0,78.39196,22.0,78.39196,86.06082,70.58824,78.39196,27.9,6.0,22.0
2006,Latin America & Caribbean,Mexico,Upper middle income,,,,,,,,,,,,,,,,,,
2006,Latin America & Caribbean,Nicaragua,Lower middle income,139.7,30.14735,139.7,30.14735,8.0,58.82353,8.0,58.82353,40.0,60.30151,40.0,60.30151,30.14735,58.82353,60.30151,139.7,8.0,40.0
2006,Latin America & Caribbean,Panama,High income,14.4,92.79774,14.4,92.79774,6.0,70.58824,6.0,70.58824,18.0,82.41206,18.0,82.41206,92.79774,70.58824,82.41206,14.4,6.0,18.0
2006,Latin America & Caribbean,Peru,Upper middle income,38.5,80.73722,38.5,80.73722,11.0,41.17647,11.0,41.17647,104.5,0.0,104.5,0.0,80.73722,41.17647,0.0,38.5,11.0,104.5
2006,Latin America & Caribbean,Puerto Rico,High income,2.2,98.9143,2.2,98.9143,7.0,64.70588,7.0,64.70588,7.0,93.46734,7.0,93.46734,98.9143,64.70588,93.46734,2.2,7.0,7.0
2006,Latin America & Caribbean,Paraguay,Upper middle income,111.5,44.25214,111.5,44.25214,17.0,5.88235,17.0,5.88235,72.0,28.1407,72.0,28.1407,44.25214,5.88235,28.1407,111.5,17.0,72.0
2006,Latin America & Caribbean,El Salvador,Lower middle income,119.7,40.14661,119.7,40.14661,13.0,29.41176,13.0,29.41176,40.0,60.30151,40.0,60.30151,40.14661,29.41176,60.30151,119.7,13.0,40.0
2006,Latin America & Caribbean,Suriname,Upper middle income,161.0,19.47652,161.0,19.47652,13.0,29.41176,13.0,29.41176,697.0,0.0,697.0,0.0,19.47652,29.41176,0.0,161.0,13.0,697.0
2006,Latin America & Caribbean,Trinidad and Tobago,High income,1.3,99.32852,1.3,99.32852,9.0,52.94118,9.0,52.94118,74.0,26.13065,74.0,26.13065,99.32852,52.94118,26.13065,1.3,9.0,74.0
2006,Latin America & Caribbean,Uruguay,High income,43.9,78.04411,43.9,78.04411,11.0,41.17647,11.0,41.17647,45.0,55.27638,45.0,55.27638,78.04411,41.17647,55.27638,43.9,11.0,45.0
2006,Latin America & Caribbean,St. Vincent and the Grenadines,Upper middle income,35.7,82.15463,35.7,82.15463,8.0,58.82353,8.0,58.82353,12.0,88.44221,12.0,88.44221,82.15463,58.82353,88.44221,35.7,8.0,12.0
2006,Latin America & Caribbean,Venezuela,Upper middle income,28.8,85.58441,28.8,85.58441,16.0,11.76471,16.0,11.76471,143.0,0.0,143.0,0.0,85.58441,11.76471,0.0,28.8,16.0,143.0
2006,Middle East & North Africa,United Arab Emirates,High income,15.8,92.11109,15.8,92.11109,10.0,47.05882,11.0,41.17647,19.0,81.40704,20.0,80.40201,92.11109,44.117644999999996,80.904525,15.8,10.5,19.5
2006,Middle East & North Africa,Bahrain,High income,,,,,,,,,,,,,,,,,,
2006,Middle East & North Africa,Djibouti,Lower middle income,279.6,0.0,279.6,0.0,11.0,41.17647,11.0,41.17647,44.0,56.28141,44.0,56.28141,0.0,41.17647,56.28141,279.6,11.0,44.0
2006,Middle East & North Africa,Algeria,Upper middle income,12.4,93.8126,12.4,93.8126,13.0,29.41176,13.0,29.41176,22.0,78.39196,22.0,78.39196,93.8126,29.41176,78.39196,12.4,13.0,22.0
2006,Middle East & North Africa,Egypt,Lower middle income,131.7,34.13451,131.7,34.13451,11.0,41.17647,12.0,35.29412,26.0,74.37186,27.0,73.36683,34.13451,38.235295,73.869345,131.7,11.5,26.5
2006,Middle East & North Africa,Iran,Upper middle income,6.3,96.86463,6.3,96.86463,10.0,47.05882,11.0,41.17647,80.0,20.1005,81.0,19.09548,96.86463,44.117644999999996,19.59799,6.3,10.5,80.5
2006,Middle East & North Africa,Iraq,Upper middle income,30.3,84.84834,30.3,84.84834,11.0,41.17647,12.0,35.29412,30.0,70.35176,31.0,69.34673,84.84834,38.235295,69.849245,30.3,11.5,30.5
2006,Middle East & North Africa,Israel,High income,5.3,97.36032,5.3,97.36032,5.0,76.47059,5.0,76.47059,18.0,82.41206,18.0,82.41206,97.36032,76.47059,82.41206,5.3,5.0,18.0
2006,Middle East & North Africa,Jordan,Upper middle income,85.5,57.2748,85.5,57.2748,10.0,47.05882,11.0,41.17647,16.0,84.42211,17.0,83.41709,57.2748,44.117644999999996,83.9196,85.5,10.5,16.5
2006,Middle East & North Africa,Kuwait,High income,2.2,98.91199,2.2,98.91199,13.0,29.41176,14.0,23.52941,35.0,65.32663,36.0,64.32161,98.91199,26.470585,64.82412,2.2,13.5,35.5
2006,Middle East & North Africa,Lebanon,Upper middle income,108.7,45.6316,108.7,45.6316,9.0,52.94118,9.0,52.94118,53.0,47.23618,53.0,47.23618,45.6316,52.94118,47.23618,108.7,9.0,53.0
2006,Middle East & North Africa,Libya,Upper middle income,,,,,,,,,,,,,,,,,,
2006,Middle East & North Africa,Morocco,Lower middle income,13.4,93.31196,13.4,93.31196,7.0,64.70588,7.0,64.70588,12.0,88.44221,12.0,88.44221,93.31196,64.70588,88.44221,13.4,7.0,12.0
2006,Middle East & North Africa,Malta,High income,,,,,,,,,,,,,,,,,,
2006,Middle East & North Africa,Oman,High income,5.0,97.51789,5.0,97.51789,12.0,35.29412,13.0,29.41176,36.0,64.32161,37.0,63.31658,97.51789,32.352940000000004,63.819095000000004,5.0,12.5,36.5
2006,Middle East & North Africa,West Bank and Gaza,Lower middle income,92.9,53.53331,92.9,53.53331,13.0,29.41176,14.0,23.52941,74.0,26.13065,75.0,25.12563,53.53331,26.470585,25.628140000000002,92.9,13.5,74.5
2006,Middle East & North Africa,Qatar,High income,,,,,,,,,,,,,,,,,,
2006,Middle East & North Africa,Saudi Arabia,High income,72.0,64.01515,72.0,64.01515,18.0,0.0,20.0,0.0,73.5,26.63317,75.5,24.62312,64.01515,0.0,25.628145,72.0,19.0,74.5
2006,Middle East & North Africa,Syrian Arab Republic,Low income,34.5,82.76685,34.5,82.76685,12.0,35.29412,13.0,29.41176,43.0,57.28643,44.0,56.28141,82.76685,32.352940000000004,56.78392,34.5,12.5,43.5
2006,Middle East & North Africa,Tunisia,Lower middle income,10.1,94.9348,10.1,94.9348,11.0,41.17647,11.0,41.17647,13.0,87.43719,13.0,87.43719,94.9348,41.17647,87.43719,10.1,11.0,13.0
2006,Middle East & North Africa,Yemen,Low income,240.2,0.0,240.2,0.0,12.0,35.29412,13.0,29.41176,63.0,37.18593,64.0,36.1809,0.0,32.352940000000004,36.683415,240.2,12.5,63.5
2006,North America,Canada,High income,0.9,99.55724,0.9,99.55724,3.0,88.23529,3.0,88.23529,3.5,96.98492,3.5,96.98492,99.55724,88.23529,96.98492,0.9,3.0,3.5
2006,North America,United States,High income,,,,,,,,,,,,,,,,,,
2006,South Asia,Afghanistan,Low income,75.2,62.39452,75.2,62.39452,4.0,82.35294,5.0,76.47059,9.0,91.45729,10.0,90.45226,62.39452,79.411765,90.954775,75.2,4.5,9.5
2006,South Asia,Bangladesh,Lower middle income,,,,,,,,,,,,,,,,,,
2006,South Asia,Bhutan,Lower middle income,16.9,91.55977,16.9,91.55977,10.0,47.05882,10.0,47.05882,62.0,38.19095,62.0,38.19095,91.55977,47.05882,38.19095,16.9,10.0,62.0
2006,South Asia,India,Lower middle income,,,,,,,,,,,,,,,,,,
2006,South Asia,Sri Lanka,Upper middle income,50.0,74.97554,50.0,74.97554,9.0,52.94118,9.0,52.94118,46.0,54.27136,46.0,54.27136,74.97554,52.94118,54.27136,50.0,9.0,46.0
2006,South Asia,Maldives,Upper middle income,14.0,92.97627,14.0,92.97627,5.0,76.47059,5.0,76.47059,9.0,91.45729,9.0,91.45729,92.97627,76.47059,91.45729,14.0,5.0,9.0
2006,South Asia,Nepal,Low income,69.9,65.06217,69.9,65.06217,7.0,64.70588,7.0,64.70588,31.0,69.34673,31.0,69.34673,65.06217,64.70588,69.34673,69.9,7.0,31.0
2006,South Asia,Pakistan,Lower middle income,,,,,,,,,,,,,,,,,,
