Country Name,Country Code,Region,Income Group,Year,Starting a business - Score,Starting a business: Cost - Average (% of income per capita) - Score,Starting a business: Procedures required - Average (number) - Score,Starting a business: Time - Average (days) - Score,Starting a business: Paid-in Minimum capital (% of income per capita) - Score
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2006,19.6,37.28904,41.17647,0.0,0.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2006,59.0,95.02227,41.17647,0.0,100.0
The Bahamas,BHS,Latin America & Caribbean,High income,2006,,,,,100.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,2006,,,,,100.0
The Gambia,GMB,Sub-Saharan Africa,Low income,2006,57.8,0.0,58.82353,72.36181,100.0
Italy,ITA,Europe & Central Asia,High income,2006,79.9,89.67439,47.05882,85.42714,97.29971
Austria,AUT,Europe & Central Asia,High income,2006,79.0,97.13502,58.82353,75.37688,84.62048
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2006,59.7,77.98728,35.29412,40.20101,85.34439
Mozambique,MOZ,Sub-Saharan Africa,Low income,2006,41.8,52.4865,17.64706,0.0,96.99327
Chad,TCD,Sub-Saharan Africa,Low income,2006,16.9,0.0,29.41176,38.19095,0.0
Suriname,SUR,Latin America & Caribbean,Upper middle income,2006,37.1,19.47652,29.41176,0.0,99.58733
Kiribati,KIR,East Asia & Pacific,Lower middle income,2006,76.1,79.86376,64.70588,69.34673,90.41131
Nepal,NPL,South Asia,Low income,2006,74.8,65.06217,64.70588,69.34673,100.0
Indonesia,IDN,East Asia & Pacific,Lower middle income,2006,,,,,87.77252
Turkey,TUR,Europe & Central Asia,Upper middle income,2006,79.4,85.63112,47.05882,89.94975,94.77888
Belize,BLZ,Latin America & Caribbean,Upper middle income,2006,69.2,80.79526,52.94118,43.21608,99.9808
Central African Republic,CAF,Sub-Saharan Africa,Low income,2006,29.9,0.0,41.17647,78.39196,0.0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2006,21.9,28.20093,41.17647,18.09045,0.0
Sweden,SWE,Europe & Central Asia,High income,2006,90.9,99.65028,88.23529,84.42211,91.25698
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2006,60.7,90.62413,47.05882,5.02513,100.0
Iran,IRN,Middle East & North Africa,Upper middle income,2006,65.1,96.86463,44.117644999999996,19.59799,100.0
Ireland,IRL,Europe & Central Asia,High income,2006,89.0,97.36001,82.35294,76.38191,100.0
Canada,CAN,North America,High income,2006,96.2,99.55724,88.23529,96.98492,100.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,2006,79.0,94.9348,41.17647,87.43719,92.55118
Benin,BEN,Sub-Saharan Africa,Low income,2006,36.3,15.894335,44.117644999999996,65.829145,19.22465
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2006,39.1,13.94301,41.17647,55.27638,45.87503
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2006,43.0,82.76685,32.352940000000004,56.78392,0.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2006,58.0,69.21767,17.64706,45.22613,100.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2006,79.3,95.62293,67.64706,53.768845,100.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,2006,,,,,0.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,2006,71.3,84.84834,38.235295,69.849245,92.10908
Cambodia,KHM,East Asia & Pacific,Lower middle income,2006,35.0,0.0,47.05882,13.06533,79.81802
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2006,69.6,99.32852,52.94118,26.13065,100.0
Bhutan,BTN,South Asia,Lower middle income,2006,69.2,91.55977,47.05882,38.19095,100.0
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,2006,35.3,0.0,41.17647,0.0,99.83091
Switzerland,CHE,Europe & Central Asia,High income,2006,86.1,95.4885,70.58824,82.41206,96.08455
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2006,77.1,94.23269,47.05882,72.36181,94.94264
Moldova,MDA,Europe & Central Asia,Lower middle income,2006,74.7,92.70223,41.17647,70.35176,94.51102
Yemen,YEM,Middle East & North Africa,Low income,2006,17.3,0.0,32.352940000000004,36.683415,0.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,31.8,0.0,35.29412,17.08543,74.97379
Poland,POL,Europe & Central Asia,High income,2006,56.1,90.03286,41.17647,48.24121,44.98231
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2006,72.4,72.09675,41.17647,83.41709,93.02109
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2006,44.6,44.25214,5.88235,28.1407,100.0
Panama,PAN,Latin America & Caribbean,High income,2006,86.4,92.79774,70.58824,82.41206,100.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,2006,82.9,80.67343,70.58824,80.40201,100.0
Lithuania,LTU,Europe & Central Asia,High income,2006,79.3,98.32946,58.82353,74.37186,85.66876
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2006,67.3,86.10845,47.05882,46.23116,89.63317
Estonia,EST,Europe & Central Asia,High income,2006,80.6,96.88701,70.58824,65.32663,89.64855
Ethiopia,ETH,Sub-Saharan Africa,Low income,2006,43.2,66.19442,41.17647,65.32663,0.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2006,65.4,84.57518,52.94118,24.1206,100.0
Seychelles,SYC,Sub-Saharan Africa,High income,2006,74.6,84.13239,47.05882,67.33668,100.0
Rwanda,RWA,Sub-Saharan Africa,Low income,2006,58.8,0.0,52.94118,82.41206,100.0
Venezuela,VEN,Latin America & Caribbean,Upper middle income,2006,49.3,85.58441,11.76471,0.0,100.0
Armenia,ARM,Europe & Central Asia,Upper middle income,2006,81.3,96.92582,47.05882,82.41206,99.00189
Algeria,DZA,Middle East & North Africa,Upper middle income,2006,72.0,93.8126,29.41176,78.39196,86.2369
Romania,ROU,Europe & Central Asia,Upper middle income,2006,89.2,97.3647,70.58824,89.44724,99.53345
Albania,ALB,Europe & Central Asia,Upper middle income,2006,67.2,84.36609,35.29412,59.29648,90.0243
Serbia,SRB,Europe & Central Asia,Upper middle income,2006,77.7,93.98664,41.17647,77.38693,98.11116
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2006,58.3,80.95396,23.52941,31.15578,97.7053
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2006,78.3,84.85765,64.70588,64.32161,99.47174
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2006,49.7,40.14661,29.41176,60.30151,68.90489
Egypt,EGY,Middle East & North Africa,Lower middle income,2006,36.6,34.13451,38.235295,73.869345,0.0
Philippines,PHL,East Asia & Pacific,Lower middle income,2006,63.5,83.39707,5.88235,65.32663,99.50173
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2006,41.2,45.63992,41.17647,43.21608,34.90522
Lebanon,LBN,Middle East & North Africa,Upper middle income,2006,57.2,45.6316,52.94118,47.23618,82.86811
Georgia,GEO,Europe & Central Asia,Upper middle income,2006,79.9,93.16485,58.82353,79.39698,88.29597
Madagascar,MDG,Sub-Saharan Africa,Low income,2006,26.5,12.45817,35.29412,58.29146,0.0
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2006,76.2,86.15745,70.58824,48.24121,100.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2006,63.4,78.3877,35.29412,40.20101,99.83036
Greece,GRC,Europe & Central Asia,High income,2006,59.7,89.02182,17.64706,62.31156,69.64352
Liberia,LBR,Sub-Saharan Africa,Low income,2006,,,,,100.0
Vietnam,VNM,East Asia & Pacific,Lower middle income,2006,73.1,86.17733,47.05882,59.29648,100.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2006,71.7,92.05217,29.41176,70.85427,94.54133
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2006,80.3,93.74526,52.94118,74.37186,100.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2006,47.9,53.53331,26.470585,25.628140000000002,85.90214
Russia,RUS,Europe & Central Asia,Upper middle income,2006,,,,,98.90885
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2006,38.3,0.0,47.05882,6.03015,100.0
Saudi Arabia,SAU,Middle East & North Africa,High income,2006,22.4,64.01515,0.0,25.628145,0.0
San Marino,SMR,Europe & Central Asia,High income,2006,,,,,94.44326
Peru,PER,Latin America & Caribbean,Upper middle income,2006,55.5,80.73722,41.17647,0.0,100.0
Guinea,GIN,Sub-Saharan Africa,Low income,2006,26.6,10.70815,35.29412,60.30151,0.0
Germany,DEU,Europe & Central Asia,High income,2006,79.3,97.62831,52.94118,78.39196,88.10606
Puerto Rico,PRI,Latin America & Caribbean,High income,2006,89.3,98.9143,64.70588,93.46734,100.0
Pakistan,PAK,South Asia,Lower middle income,2006,,,,,100.0
Portugal,PRT,Europe & Central Asia,High income,2006,69.2,93.2961,41.17647,52.26131,90.15575
Finland,FIN,Europe & Central Asia,High income,2006,91.0,99.42246,88.23529,83.41709,92.9995
Denmark,DNK,Europe & Central Asia,High income,2006,89.7,100.0,76.47059,93.96985,88.26087
Singapore,SGP,East Asia & Pacific,High income,2006,91.2,99.5444,70.58824,94.47236,100.0
Palau,PLW,East Asia & Pacific,High income,2006,83.8,97.63464,64.70588,76.38191,96.36099
Fiji,FJI,East Asia & Pacific,Upper middle income,2006,75.2,85.78208,58.82353,56.28141,100.0
Australia,AUS,East Asia & Pacific,High income,2006,96.2,99.03318,88.23529,97.48744,100.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2006,67.6,58.24472,58.82353,53.26633,100.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,2006,24.4,0.0,41.17647,56.28141,0.0
Eritrea,ERI,Sub-Saharan Africa,Low income,2006,22.1,34.78789,29.41176,24.1206,0.0
Libya,LBY,Middle East & North Africa,Upper middle income,2006,,,,,49.97905
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2006,57.1,87.21225,47.05882,0.0,94.16084
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2006,36.9,50.68547,0.0,0.0,96.73205
Liechtenstein,LIE,Europe & Central Asia,High income,2006,,,,,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2006,58.6,70.79535,11.76471,59.29648,92.66896
Qatar,QAT,Middle East & North Africa,High income,2006,,,,,64.6525
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2006,57.0,79.0915,52.94118,0.0,95.89313
France,FRA,Europe & Central Asia,High income,2006,92.3,99.41269,76.47059,93.46734,99.99905
Malaysia,MYS,East Asia & Pacific,Upper middle income,2006,73.4,86.68418,44.117644999999996,62.81407,100.0
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2006,55.2,0.0,58.82353,74.37186,87.66864
Malawi,MWI,Sub-Saharan Africa,Low income,2006,60.1,30.18119,47.05882,63.31658,100.0
Latvia,LVA,Europe & Central Asia,High income,2006,87.7,97.90152,76.47059,84.42211,92.05121
Luxembourg,LUX,Europe & Central Asia,High income,2006,,,,,94.46617
Dominica,DMA,Latin America & Caribbean,Upper middle income,2006,87.0,84.9113,76.47059,86.43216,100.0
Slovak Republic,SVK,Europe & Central Asia,High income,2006,74.4,97.47621,47.05882,63.31658,89.73786
Samoa,WSM,East Asia & Pacific,Upper middle income,2006,75.2,76.7778,58.82353,65.32663,99.99109
Samoa,WSM,East Asia & Pacific,Upper middle income,2007,75.3,77.25304,58.82353,65.32663,99.99127
Finland,FIN,Europe & Central Asia,High income,2007,91.1,99.4415,88.23529,83.41709,93.23027
Switzerland,CHE,Europe & Central Asia,High income,2007,87.0,98.74948,70.58824,82.41206,96.21793
Myanmar,MMR,East Asia & Pacific,Lower middle income,2007,,,,,0.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,2007,23.7,0.0,47.05882,14.07035,33.7621
Eritrea,ERI,Sub-Saharan Africa,Low income,2007,23.9,42.04746,29.41176,24.1206,0.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,2007,66.9,72.60543,38.235295,70.85427,85.73304
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2007,44.6,89.43947,32.352940000000004,56.78392,0.0
Georgia,GEO,Europe & Central Asia,Upper middle income,2007,85.7,94.54808,64.70588,84.42211,99.06645
Estonia,EST,Europe & Central Asia,High income,2007,81.2,97.46125,70.58824,65.32663,91.41532
Rwanda,RWA,Sub-Saharan Africa,Low income,2007,60.8,5.85196,52.94118,84.42211,100.0
Slovak Republic,SVK,Europe & Central Asia,High income,2007,74.5,97.59548,47.05882,63.31658,90.22618
Mozambique,MOZ,Sub-Saharan Africa,Low income,2007,44.5,57.1683,23.52941,0.0,97.39846
The Gambia,GMB,Sub-Saharan Africa,Low income,2007,58.0,0.0,58.82353,73.36683,100.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,2007,,,,,100.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2007,89.6,95.31934,70.58824,92.46231,100.0
The Bahamas,BHS,Latin America & Caribbean,High income,2007,,,,,100.0
Puerto Rico,PRI,Latin America & Caribbean,High income,2007,89.3,99.08411,64.70588,93.46734,100.0
Portugal,PRT,Europe & Central Asia,High income,2007,84.2,96.05743,58.82353,91.45729,90.32583
Fiji,FJI,East Asia & Pacific,Upper middle income,2007,75.5,87.07794,58.82353,56.28141,100.0
Brunei,BRN,East Asia & Pacific,High income,2007,48.9,95.57042,0.0,0.0,99.99915
Mongolia,MNG,East Asia & Pacific,Lower middle income,2007,77.4,96.05067,58.82353,83.41709,71.17277
Thailand,THA,East Asia & Pacific,Upper middle income,2007,76.1,91.82567,47.05882,65.32663,99.99857
Qatar,QAT,Middle East & North Africa,High income,2007,,,,,57.22389
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2007,70.6,96.07311,41.17647,61.30653,84.01848
Italy,ITA,Europe & Central Asia,High income,2007,80.0,90.02421,47.05882,85.42714,97.39119
France,FRA,Europe & Central Asia,High income,2007,92.3,99.43761,76.47059,93.46734,99.99909
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,2007,35.3,0.0,41.17647,0.0,99.82586
Ethiopia,ETH,Sub-Saharan Africa,Low income,2007,49.7,76.08437,41.17647,81.40704,0.0
Tanzania,TZA,Sub-Saharan Africa,Low income,2007,49.2,0.0,29.41176,67.33668,100.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2007,42.2,43.68813,58.82353,66.33166,0.0
Israel,ISR,Middle East & North Africa,High income,2007,89.1,97.46252,76.47059,82.41206,100.0
Romania,ROU,Europe & Central Asia,Upper middle income,2007,89.3,97.68652,70.58824,89.44724,99.61174
Tajikistan,TJK,Europe & Central Asia,Low income,2007,28.1,62.45756,23.52941,21.10553,5.33929
Poland,POL,Europe & Central Asia,High income,2007,58.9,90.421,41.17647,55.27638,48.88832
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2007,68.0,87.91467,47.05882,46.23116,90.98109
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2007,63.7,79.44324,35.29412,40.20101,99.83864
Morocco,MAR,Middle East & North Africa,Lower middle income,2007,82.5,93.62815,64.70588,88.44221,83.31978
"Taiwan, China",TWN,East Asia & Pacific,High income,2007,61.1,97.82722,58.82353,35.17588,52.76571
Russia,RUS,Europe & Central Asia,Upper middle income,2007,,,,,99.15049
Philippines,PHL,East Asia & Pacific,Lower middle income,2007,63.8,84.56026,5.88235,65.32663,99.55067
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2007,61.4,77.21897,35.29412,48.24121,84.83287
Ireland,IRL,Europe & Central Asia,High income,2007,90.9,99.83685,82.35294,81.40704,100.0
Montenegro,MNE,Europe & Central Asia,Upper middle income,2007,72.1,96.52778,17.64706,74.37186,99.99132
Burundi,BDI,Sub-Saharan Africa,Low income,2007,61.6,0.0,58.82353,87.43719,100.0
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2007,69.2,70.68999,44.117644999999996,61.809045,100.0
Iran,IRN,Middle East & North Africa,Upper middle income,2007,65.3,97.29615,44.117644999999996,19.59799,100.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2007,74.2,96.56544,52.94118,47.23618,99.99925
Croatia,HRV,Europe & Central Asia,High income,2007,79.3,94.23317,52.94118,75.37688,94.84183
Dominica,DMA,Latin America & Caribbean,Upper middle income,2007,87.0,85.02071,76.47059,86.43216,100.0
Palau,PLW,East Asia & Pacific,High income,2007,81.3,97.44732,58.82353,72.36181,96.72346
Seychelles,SYC,Sub-Saharan Africa,High income,2007,74.6,83.91537,47.05882,67.33668,100.0
South Sudan,SSD,Sub-Saharan Africa,Low income,2007,,,,,100.0
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2007,55.8,0.0,58.82353,74.37186,89.98688
Honduras,HND,Latin America & Caribbean,Lower middle income,2007,60.8,70.52336,35.29412,43.21608,94.28109
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2007,65.5,84.89522,52.94118,24.1206,99.99902
Grenada,GRD,Latin America & Caribbean,Upper middle income,2007,83.1,81.37427,70.58824,80.40201,100.0
Spain,ESP,Europe & Central Asia,High income,2007,68.9,91.88806,47.05882,40.20101,96.3499
Niger,NER,Sub-Saharan Africa,Low income,2007,25.9,0.0,35.29412,68.34171,0.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2007,91.1,98.363,76.47059,89.44724,100.0
Congo,COG,Sub-Saharan Africa,Lower middle income,2007,45.5,30.03421,38.235295,61.809045,51.90962
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2007,60.5,93.7695,35.29412,13.06533,100.0
Cyprus,CYP,Europe & Central Asia,High income,2007,,,,,100.0
Haiti,HTI,Latin America & Caribbean,Low income,2007,30.4,0.0,29.41176,0.0,92.20563
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2007,63.5,73.95828,23.52941,63.31658,93.38831
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,2007,30.1,0.0,20.588234999999997,0.0,100.0
Denmark,DNK,Europe & Central Asia,High income,2007,89.8,100.0,76.47059,93.96985,88.84948
Slovenia,SVN,Europe & Central Asia,High income,2007,65.4,95.28261,41.17647,38.69347,86.49135
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2007,2.2,0.0,8.82353,0.0,0.0
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2007,43.2,32.94979,41.17647,55.27638,43.31711
Guinea,GIN,Sub-Saharan Africa,Low income,2007,26.2,9.37593,35.29412,60.30151,0.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2007,62.8,41.38675,64.70588,45.22613,100.0
Norway,NOR,Europe & Central Asia,High income,2007,92.1,98.7443,82.35294,93.46734,93.72148
Pakistan,PAK,South Asia,Lower middle income,2007,,,,,100.0
Singapore,SGP,East Asia & Pacific,High income,2007,91.2,99.5839,70.58824,94.47236,100.0
Guyana,GUY,Latin America & Caribbean,Upper middle income,2007,67.3,52.23455,58.82353,58.29146,100.0
Czech Republic,CZE,Europe & Central Asia,High income,2007,73.7,95.5259,47.05882,61.30653,90.79688
Djibouti,DJI,Middle East & North Africa,Lower middle income,2007,24.4,0.0,41.17647,56.28141,0.0
Somalia,SOM,Sub-Saharan Africa,Low income,2007,,,,,100.0
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2007,66.9,96.69357,29.41176,69.34673,72.23436
Panama,PAN,Latin America & Caribbean,High income,2007,86.5,93.06025,70.58824,82.41206,100.0
Canada,CAN,North America,High income,2007,96.2,99.5805,88.23529,96.98492,100.0
Serbia,SRB,Europe & Central Asia,Upper middle income,2007,77.9,94.90057,41.17647,77.38693,98.09451
