Country Name,Country Code,Urban Code,Urban Area Name,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Currency Unit,Region,Income Group
Afghanistan,AFG,,,Starting a business: Cost - Women (% of income per capita) - Score,IC.REG.COST.PC.FE.ZS.DRFN,62.39452,66.2963,57.68769,70.27027,84.89749,86.6427,87.11124,88.76007,92.82275,92.44223,90.51254,90.04752,58.84688,96.79362,96.5931,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19.0,19.9,82.3,6.4,6.8,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Cost - Men (% of income per capita) - Score,IC.REG.COST.PC.MA.ZS.DFRN,62.39452,66.2963,57.68769,70.27027,84.89749,86.6427,87.11124,88.76007,92.82275,92.44223,90.51254,90.04752,58.84688,96.79362,96.5931,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19.0,19.9,82.3,6.4,6.8,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Afghan afghani,South Asia,Low income
Albania,ALB,,,Starting a business: Cost - Men (% of income per capita) - Score,IC.REG.COST.PC.MA.ZS.DFRN,84.36609,88.73454,76.93261,78.73491,83.90804,84.10538,85.34636,88.81428,89.40376,94.96868,94.82606,93.76145,94.00833,94.35765,94.58587,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,12.5,12.0,11.3,10.8,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Cost - Women (% of income per capita) - Score,IC.REG.COST.PC.FE.ZS.DRFN,84.36609,88.73454,76.93261,78.73491,83.90804,84.10538,85.34636,88.81428,89.40376,94.96868,94.82606,93.76145,94.00833,94.35765,94.58587,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Minimum capital (% of income per capita),IC.REG.MIN.CAP,39.9,36.7,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,IC.REG.DFRN.PC.DFRN,90.0243,90.82019,91.42349,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Procedures required - Men (number) - Score,IC.REG.PROC.MA.NO.DFRN,35.29412,35.29412,41.17647,58.82353,70.58824,70.58824,70.58824,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,41.0,39.0,37.0,10.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Procedures required - Women (number) - Score,IC.REG.PROC.FE.NO.DFRN,35.29412,35.29412,41.17647,58.82353,70.58824,70.58824,70.58824,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Time - Men (days) - Score,IC.REG.DURS.MA.DY.DFRN,59.29648,61.30653,63.31658,90.45226,94.47236,94.47236,94.47236,95.47739,95.47739,95.47739,95.47739,95.47739,95.47739,95.9799,95.9799,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Time - Women (days),IC.REG.DURS.FE.DY,41.0,39.0,37.0,10.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Time - Women (days)- Score,IC.REG.DURS.FE.DY.DRFN,59.29648,61.30653,63.31658,90.45226,94.47236,94.47236,94.47236,95.47739,95.47739,95.47739,95.47739,95.47739,95.47739,95.9799,95.9799,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,12.5,12.0,11.3,10.8,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,12.0,12.0,11.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business - Score,IC.REG.STRT.BUS.DFRN,67.2,69.0,68.2,82.0,87.2,87.3,87.6,90.2,90.3,91.7,91.7,91.4,91.5,91.7,91.8,Albanian lek,Europe & Central Asia,Upper middle income
Albania,ALB,,,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,12.0,12.0,11.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Albanian lek,Europe & Central Asia,Upper middle income
Algeria,DZA,,,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Time - Women (days)- Score,IC.REG.DURS.FE.DY.DRFN,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,80.40201,82.41206,82.41206,82.41206,82.41206,82.41206,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Time - Women (days),IC.REG.DURS.FE.DY,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,18.0,18.0,18.0,18.0,18.0,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Time - Men (days) - Score,IC.REG.DURS.MA.DY.DFRN,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,80.40201,82.41206,82.41206,82.41206,82.41206,82.41206,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,18.0,18.0,18.0,18.0,18.0,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Procedures required - Women (number) - Score,IC.REG.PROC.FE.NO.DFRN,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,35.29412,35.29412,35.29412,35.29412,35.29412,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Procedures required - Men (number) - Score,IC.REG.PROC.MA.NO.DFRN,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,29.41176,35.29412,35.29412,35.29412,35.29412,35.29412,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,IC.REG.DFRN.PC.DFRN,86.2369,88.49867,88.70619,90.85615,92.26121,91.39844,92.34592,93.1935,92.8601,93.97655,94.09049,100.0,100.0,100.0,100.0,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Minimum capital (% of income per capita),IC.REG.MIN.CAP,55.1,46.0,45.2,36.6,31.0,34.4,30.6,27.2,28.6,24.1,23.6,0.0,0.0,0.0,0.0,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Cost - Women (% of income per capita) - Score,IC.REG.COST.PC.FE.ZS.DRFN,93.8126,93.29546,93.41643,94.62213,93.93397,93.5364,93.973,93.95517,93.78154,94.48345,94.54406,94.456,93.74768,94.08404,94.34925,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11.0,10.9,11.1,12.5,11.8,11.3,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Cost - Men (% of income per capita) - Score,IC.REG.COST.PC.MA.ZS.DFRN,93.8126,93.29546,93.41643,94.62213,93.93397,93.5364,93.973,93.95517,93.78154,94.48345,94.54406,94.456,93.74768,94.08404,94.34925,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11.0,10.9,11.1,12.5,11.8,11.3,Algerian dinar,Middle East & North Africa,Upper middle income
Algeria,DZA,,,Starting a business - Score,IC.REG.STRT.BUS.DFRN,72.0,72.4,72.5,73.3,73.5,73.2,73.5,73.7,73.6,74.6,76.6,78.0,77.9,77.9,78.0,Algerian dinar,Middle East & North Africa,Upper middle income
Angola,AGO,,,Starting a business: Time - Women (days)- Score,IC.REG.DURS.FE.DY.DRFN,17.08543,17.08543,17.08543,32.1608,32.1608,34.17085,34.17085,34.17085,34.17085,34.17085,64.32161,64.32161,64.32161,64.32161,64.32161,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Time - Women (days),IC.REG.DURS.FE.DY,83.0,83.0,83.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,36.0,36.0,36.0,36.0,36.0,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,17.0,20.7,17.4,13.9,11.1,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business - Score,IC.REG.STRT.BUS.DFRN,31.8,33.5,34.9,45.7,52.0,46.5,51.3,53.8,55.6,57.1,77.5,79.7,78.6,79.0,79.4,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Time - Men (days) - Score,IC.REG.DURS.MA.DY.DFRN,17.08543,17.08543,17.08543,32.1608,32.1608,34.17085,34.17085,34.17085,34.17085,34.17085,64.32161,64.32161,64.32161,64.32161,64.32161,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,83.0,83.0,83.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,36.0,36.0,36.0,36.0,36.0,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Procedures required - Women (number) - Score,IC.REG.PROC.FE.NO.DFRN,35.29412,35.29412,35.29412,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,64.70588,58.82353,58.82353,58.82353,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Procedures required - Men (number) - Score,IC.REG.PROC.MA.NO.DFRN,35.29412,35.29412,35.29412,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,58.82353,64.70588,58.82353,58.82353,58.82353,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,IC.REG.DFRN.PC.DFRN,74.97379,81.48148,87.37374,90.23438,92.7468,92.83668,93.68687,93.84236,94.54148,95.00998,95.28302,100.0,100.0,100.0,100.0,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Minimum capital (% of income per capita),IC.REG.MIN.CAP,100.1,74.1,50.5,39.1,29.0,28.7,25.3,24.6,21.8,20.0,18.9,0.0,0.0,0.0,0.0,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Cost - Women (% of income per capita) - Score,IC.REG.COST.PC.FE.ZS.DRFN,0.0,0.0,0.0,1.60548,24.43583,0.0,18.42507,28.45754,34.97019,40.5855,91.49751,89.63834,91.32364,93.03696,94.45725,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,17.0,20.7,17.4,13.9,11.1,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Angola,AGO,,,Starting a business: Cost - Men (% of income per capita) - Score,IC.REG.COST.PC.MA.ZS.DFRN,0.0,0.0,0.0,1.60548,24.43583,0.0,18.42507,28.45754,34.97019,40.5855,91.49751,89.63834,91.32364,93.03696,94.45725,Angolan kwanza,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,ATG,,,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,IC.REG.DFRN.PC.DFRN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,12.5,12.0,11.3,11.1,9.2,10.5,11.9,10.4,10.0,9.7,9.4,9.3,9.1,8.7,8.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Cost - Women (% of income per capita) - Score,IC.REG.COST.PC.FE.ZS.DRFN,93.74526,93.99935,94.3255,94.43588,95.39514,94.76782,94.05919,94.80397,95.00757,95.13822,95.29708,95.34698,95.45435,95.65166,95.99189,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Minimum capital (% of income per capita),IC.REG.MIN.CAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Cost - Men (% of income per capita) - Score,IC.REG.COST.PC.MA.ZS.DFRN,93.74526,93.99935,94.3255,94.43588,95.39514,94.76782,94.05919,94.80397,95.00757,95.13822,95.29708,95.34698,95.45435,95.65166,95.99189,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Time - Women (days)- Score,IC.REG.DURS.FE.DY.DRFN,74.37186,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,81.40704,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Procedures required - Women (number) - Score,IC.REG.PROC.FE.NO.DFRN,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,26.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,19.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Time - Men (days) - Score,IC.REG.DURS.MA.DY.DFRN,74.37186,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,78.39196,81.40704,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Time - Women (days),IC.REG.DURS.FE.DY,26.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,19.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,12.5,12.0,11.3,11.1,9.2,10.5,11.9,10.4,10.0,9.7,9.4,9.3,9.1,8.7,8.0,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business: Procedures required - Men (number) - Score,IC.REG.PROC.MA.NO.DFRN,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,52.94118,East Caribbean dollar,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,,,Starting a business - Score,IC.REG.STRT.BUS.DFRN,80.3,81.3,81.4,81.4,81.7,81.5,81.3,81.5,81.6,81.6,81.7,81.7,81.7,81.7,82.6,East Caribbean dollar,Latin America & Caribbean,High income
Argentina,ARG,,,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,15.9,15.4,13.6,12.8,16.1,20.7,17.7,15.4,23.2,17.7,11.4,10.8,10.4,5.3,5.0,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,IC.REG.DFRN.PC.DFRN,94.54133,95.29287,96.03038,96.8992,97.54625,97.7348,98.16354,98.5825,98.5825,98.99946,99.41671,100.0,100.0,100.0,100.0,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business - Score,IC.REG.STRT.BUS.DFRN,71.7,72.0,72.4,71.1,72.1,71.7,72.2,72.6,71.6,72.4,73.3,73.5,73.6,82.0,80.4,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,15.9,15.4,13.6,12.8,16.1,20.7,17.7,15.4,23.2,17.7,11.4,10.8,10.4,5.3,5.0,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Cost - Men (% of income per capita) - Score,IC.REG.COST.PC.MA.ZS.DFRN,92.05217,92.29913,93.18813,93.59996,91.93815,89.64349,91.16294,92.31714,88.38215,91.14481,94.29868,94.6182,94.81104,97.35482,97.49495,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Cost - Women (% of income per capita) - Score,IC.REG.COST.PC.FE.ZS.DRFN,92.05217,92.29913,93.18813,93.59996,91.93815,89.64349,91.16294,92.31714,88.38215,91.14481,94.29868,94.6182,94.81104,97.35482,97.49495,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Minimum capital (% of income per capita),IC.REG.MIN.CAP,21.8,18.8,15.9,12.4,9.8,9.1,7.3,5.7,5.7,4.0,2.3,0.0,0.0,0.0,0.0,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,12.0,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Procedures required - Men (number) - Score,IC.REG.PROC.MA.NO.DFRN,29.41176,29.41176,29.41176,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,41.17647,35.29412,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,12.0,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Procedures required - Women (number) - Score,IC.REG.PROC.FE.NO.DFRN,29.41176,29.41176,29.41176,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,23.52941,41.17647,35.29412,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,29.5,29.5,29.5,30.0,25.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11.0,11.5,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Time - Men (days) - Score,IC.REG.DURS.MA.DY.DFRN,70.85427,70.85427,70.85427,70.35176,75.37688,75.8794,75.8794,75.8794,75.8794,75.8794,75.8794,75.8794,75.8794,89.44724,88.94472,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Time - Women (days),IC.REG.DURS.FE.DY,29.5,29.5,29.5,30.0,25.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11.0,11.5,Argentine peso,Latin America & Caribbean,Upper middle income
Argentina,ARG,,,Starting a business: Time - Women (days)- Score,IC.REG.DURS.FE.DY.DRFN,70.85427,70.85427,70.85427,70.35176,75.37688,75.8794,75.8794,75.8794,75.8794,75.8794,75.8794,75.8794,75.8794,89.44724,88.94472,Argentine peso,Latin America & Caribbean,Upper middle income
Armenia,ARM,,,Starting a business - Score,IC.REG.STRT.BUS.DFRN,81.3,83.2,83.3,83.5,88.9,88.9,93.3,93.4,94.3,94.3,94.3,94.3,94.3,96.1,96.1,Armenian dram,Europe & Central Asia,Upper middle income
Armenia,ARM,,,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1.0,1.0,0.9,0.9,0.8,0.8,Armenian dram,Europe & Central Asia,Upper middle income
Armenia,ARM,,,Starting a business: Time - Women (days),IC.REG.DURS.FE.DY,18.0,17.0,17.0,17.0,14.0,14.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,Armenian dram,Europe & Central Asia,Upper middle income
Armenia,ARM,,,Starting a business: Time - Women (days)- Score,IC.REG.DURS.FE.DY.DRFN,82.41206,83.41709,83.41709,83.41709,86.43216,86.43216,92.46231,92.46231,95.47739,95.47739,95.47739,95.47739,95.47739,96.48241,96.48241,Armenian dram,Europe & Central Asia,Upper middle income
Armenia,ARM,,,Starting a business: Cost - Men (% of income per capita) - Score,IC.REG.COST.PC.MA.ZS.DFRN,96.92582,97.43161,97.60261,98.21792,98.68078,98.45716,98.57382,98.74905,99.45026,99.4852,99.51446,99.55374,99.56156,99.60932,99.62426,Armenian dram,Europe & Central Asia,Upper middle income
Armenia,ARM,,,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1.0,1.0,0.9,0.9,0.8,0.8,Armenian dram,Europe & Central Asia,Upper middle income
Armenia,ARM,,,Starting a business: Cost - Women (% of income per capita) - Score,IC.REG.COST.PC.FE.ZS.DRFN,96.92582,97.43161,97.60261,98.21792,98.68078,98.45716,98.57382,98.74905,99.45026,99.4852,99.51446,99.55374,99.56156,99.60932,99.62426,Armenian dram,Europe & Central Asia,Upper middle income
Armenia,ARM,,,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,IC.REG.DFRN.PC.DFRN,99.00189,99.16611,99.22163,99.4214,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Armenian dram,Europe & Central Asia,Upper middle income
