,Country Name,Country Code,Indicator Name,Urban Area Name,Urban Code,Indicator Code,2020
130,Bosnia and Herzegovina,BIH,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,29.41176
131,Bosnia and Herzegovina,BIH,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,93.17431
132,Botswana,BWA,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,52.26131
133,Botswana,BWA,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,52.26131
134,Botswana,BWA,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,52.94118
135,Botswana,BWA,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,52.94118
136,Botswana,BWA,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.70532
137,Botswana,BWA,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.70532
138,Brazil,BRA,Starting a business: Time - Women (days)- Score,Sao Paulo,SAO,IC.REG.DURS.FE.DY.DRFN,86.93467
139,Brazil,BRA,Starting a business: Time - Men (days) - Score,Sao Paulo,SAO,IC.REG.DURS.MA.DY.DFRN,86.93467
140,Brazil,BRA,Starting a business: Procedures required - Men (number) - Score,Sao Paulo,SAO,IC.REG.PROC.MA.NO.DFRN,41.17647
141,Brazil,BRA,Starting a business: Cost - Women (% of income per capita) - Score,Sao Paulo,SAO,IC.REG.COST.PC.FE.ZS.DRFN,98.21878
142,Brazil,BRA,Starting a business: Cost - Men (% of income per capita) - Score,Sao Paulo,SAO,IC.REG.COST.PC.MA.ZS.DFRN,98.21878
143,Brazil,BRA,Starting a business: Procedures required - Women (number) - Score,Sao Paulo,SAO,IC.REG.PROC.FE.NO.DFRN,41.17647
144,Brazil,BRA,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,97.90941
145,Brazil,BRA,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,97.90941
146,Brazil,BRA,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,43.47059
147,Brazil,BRA,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,43.47059
148,Brazil,BRA,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,83.799
149,Brazil,BRA,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,83.799
150,Brazil,BRA,Starting a business: Time - Women (days)- Score,Rio de Janeiro,RIO,IC.REG.DURS.FE.DY.DRFN,78.89447
151,Brazil,BRA,Starting a business: Cost - Men (% of income per capita) - Score,Rio de Janeiro,RIO,IC.REG.COST.PC.MA.ZS.DFRN,97.42553
152,Brazil,BRA,Starting a business: Cost - Women (% of income per capita) - Score,Rio de Janeiro,RIO,IC.REG.COST.PC.FE.ZS.DRFN,97.42553
153,Brazil,BRA,Starting a business: Procedures required - Men (number) - Score,Rio de Janeiro,RIO,IC.REG.PROC.MA.NO.DFRN,47.05882
154,Brazil,BRA,Starting a business: Procedures required - Women (number) - Score,Rio de Janeiro,RIO,IC.REG.PROC.FE.NO.DFRN,47.05882
155,Brazil,BRA,Starting a business: Time - Men (days) - Score,Rio de Janeiro,RIO,IC.REG.DURS.MA.DY.DFRN,78.89447
156,Brunei,BRN,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.46486
157,Brunei,BRN,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.46486
158,Brunei,BRN,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,88.23529
159,Brunei,BRN,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,82.35294
160,Brunei,BRN,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,95.47739
161,Brunei,BRN,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,94.47236
162,Bulgaria,BGR,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.50305
163,Bulgaria,BGR,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.50305
164,Bulgaria,BGR,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,64.70588
165,Bulgaria,BGR,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,77.38693
166,Bulgaria,BGR,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,77.38693
167,Bulgaria,BGR,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,64.70588
168,Burkina Faso,BFA,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,78.60496
169,Burkina Faso,BFA,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,78.60496
170,Burkina Faso,BFA,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,88.23529
171,Burkina Faso,BFA,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,88.23529
172,Burkina Faso,BFA,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,87.43719
173,Burkina Faso,BFA,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,87.43719
174,Burundi,BDI,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,82.35294
175,Burundi,BDI,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,82.35294
176,Burundi,BDI,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,95.47739
177,Burundi,BDI,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,95.47739
178,Burundi,BDI,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,93.86112
179,Burundi,BDI,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,93.86112
180,Cabo Verde,CPV,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,93.47575
181,Cabo Verde,CPV,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,93.47575
182,Cabo Verde,CPV,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,52.94118
183,Cabo Verde,CPV,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,52.94118
184,Cabo Verde,CPV,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,91.45729
185,Cabo Verde,CPV,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,91.45729
186,Cambodia,KHM,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,1.00503
187,Cambodia,KHM,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,1.00503
188,Cambodia,KHM,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,52.94118
189,Cambodia,KHM,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,52.94118
190,Cambodia,KHM,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,73.28387
191,Cambodia,KHM,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,73.28387
192,Cameroon,CMR,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,87.43719
193,Cameroon,CMR,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,70.58824
194,Cameroon,CMR,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,76.47059
195,Cameroon,CMR,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,87.53347
196,Cameroon,CMR,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,87.71379
197,Cameroon,CMR,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,86.43216
198,Canada,CAN,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,98.99497
199,Canada,CAN,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,94.11765
200,Canada,CAN,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,94.11765
201,Canada,CAN,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.83061
202,Canada,CAN,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.83061
203,Canada,CAN,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,98.99497
204,Central African Republic,CAF,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,36.11586
205,Central African Republic,CAF,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,36.11586
206,Central African Republic,CAF,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,47.05882
207,Central African Republic,CAF,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,47.05882
208,Central African Republic,CAF,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,78.39196
209,Central African Republic,CAF,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,78.39196
210,Chad,TCD,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,42.21106
211,Chad,TCD,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,58.82353
212,Chad,TCD,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,58.82353
213,Chad,TCD,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,15.36549
214,Chad,TCD,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,15.36549
215,Chad,TCD,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,42.21106
216,Chile,CHL,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,96.48241
217,Chile,CHL,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,96.48241
218,Chile,CHL,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,70.58824
219,Chile,CHL,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,70.58824
220,Chile,CHL,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,98.63923
